Catchment,GAName,Constituent,Units,WA_DOH_Station,StationNum,Date,DateTime,Value
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-07-31,2018-07-31,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-09-26,2018-09-26,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-11-14,2018-11-14,4.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2018-12-14,2018-12-14,12.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-01-08,2019-01-08,46.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-02-14,2019-02-14,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-03-28,2019-03-28,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-05-21,2019-05-21,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-06-21,2019-06-21,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-07-02,2019-07-02,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-07-18,2019-07-18,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-09-19,2019-09-19,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-09-20,2019-09-20,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-10-08,2019-10-08,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2019-12-04,2019-12-04,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2020-01-14,2020-01-14,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2020-01-16,2020-01-16,11.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2020-02-24,2020-02-24,4.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2020-04-20,2020-04-20,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2020-05-14,2020-05-14,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2020-05-20,2020-05-20,1.7
